model_group,paper_table_group,rank_within_group,model_id,display_name,category,miou,checkpoint_kind,checkpoint_identifier,checkpoint_loader,checkpoint_source_location,checkpoint_source_url,repro_script,result_source_csv
deep_general,Appendix deep-general table,2,dl_segformer_b2,SegFormer (MiT-B2),transformer,0.5760,pretrained_encoder,smp-hub/mit_b2.imagenet,"smp.create_model('Segformer', encoder_name='mit_b2', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/mit_b2.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,3,dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),context-atrous,0.5740,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('DeepLabV3Plus', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,4,dl_segformer_b0,SegFormer (MiT-B0),transformer,0.5709,pretrained_encoder,smp-hub/mit_b0.imagenet,"smp.create_model('Segformer', encoder_name='mit_b0', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/mit_b0.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,5,dl_unetpp_r34,U-Net++ (ResNet34),encoder-decoder,0.5588,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('UnetPlusPlus', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,6,dl_unet_effb0,U-Net (EfficientNet-B0),encoder-decoder,0.5456,pretrained_encoder,timm/efficientnet_b0.ra_in1k,"smp.create_model('Unet', encoder_name='tu-efficientnet_b0', encoder_weights='imagenet')",timm universal encoder weights (imagenet) loaded through segmentation_models_pytorch,https://huggingface.co/timm/efficientnet_b0.ra_in1k,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,7,dl_manet_r34,MAnet (ResNet34),attention,0.5431,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('MAnet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,8,dl_unet_r34,U-Net (ResNet34),encoder-decoder,0.5209,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Unet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,9,dl_linknet_r34,LinkNet (ResNet34),lightweight,0.4956,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Linknet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,10,dl_upernet_b0,UPerNet (MiT-B0),transformer,0.4700,pretrained_encoder,smp-hub/mit_b0.imagenet,"smp.create_model('UPerNet', encoder_name='mit_b0', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/mit_b0.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,11,dl_fpn_r34,FPN (ResNet34),pyramid,0.4499,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('FPN', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,12,dl_upernet_b2,UPerNet (MiT-B2),transformer,0.4448,pretrained_encoder,smp-hub/mit_b2.imagenet,"smp.create_model('UPerNet', encoder_name='mit_b2', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/mit_b2.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,13,dl_pspnet_r34,PSPNet (ResNet34),pyramid,0.4076,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('PSPNet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_general,Appendix deep-general table,14,dl_deeplabv3_r34,DeepLabV3 (ResNet34),context-atrous,0.3200,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('DeepLabV3', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
deep_metallography,Appendix deep-metallography table,1,metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),edge-aware,0.6290,pretrained_encoder,timm/efficientnet_b0.ra_in1k,"smp.create_model('MAnet', encoder_name='tu-efficientnet_b0', encoder_weights='imagenet')",timm universal encoder weights (imagenet) loaded through segmentation_models_pytorch,https://huggingface.co/timm/efficientnet_b0.ra_in1k,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,2,metal_unetpp_clahe_effb0,Metal-U-Net++ CLAHE (EfficientNet-B0),micrograph-contrast,0.5869,pretrained_encoder,timm/efficientnet_b0.ra_in1k,"smp.create_model('UnetPlusPlus', encoder_name='tu-efficientnet_b0', encoder_weights='imagenet')",timm universal encoder weights (imagenet) loaded through segmentation_models_pytorch,https://huggingface.co/timm/efficientnet_b0.ra_in1k,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,3,metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),micrograph-contrast,0.5727,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Unet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,4,metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),micrograph-contrast,0.5721,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Unet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,5,metal_deeplabv3p_clahe_r34,Metal-DeepLabV3+ CLAHE (ResNet34),micrograph-contrast,0.5629,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('DeepLabV3Plus', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,6,metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),texture-aware,0.5609,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Unet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,7,metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),edge-aware,0.5308,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Unet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,8,metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),micrograph-contrast,0.5307,pretrained_encoder,smp-hub/mit_b0.imagenet,"smp.create_model('Segformer', encoder_name='mit_b0', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/mit_b0.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,9,metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),micrograph-contrast,0.5244,pretrained_encoder,smp-hub/mit_b2.imagenet,"smp.create_model('Segformer', encoder_name='mit_b2', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/mit_b2.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,10,metal_unet_lbp_r34,Metal-U-Net LBP Stack (ResNet34),texture-aware,0.4884,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Unet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,11,metal_unetpp_gray_r34,Metal-U-Net++ Gray (ResNet34),micrograph-contrast,0.4776,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('UnetPlusPlus', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,12,metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),edge-aware,0.4642,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('Linknet', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,13,metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography-original,0.4540,random_init,vgg16; encoder_weights=None,"smp.create_model('Unet', encoder_name='vgg16', encoder_weights=None)",No external checkpoint; model initialized from scratch and trained on AMAM.,https://huggingface.co/smp-hub/vgg16.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,14,metal_upernet_clahe_b2,Metal-UPerNet CLAHE (MiT-B2),micrograph-contrast,0.4413,pretrained_encoder,smp-hub/mit_b2.imagenet,"smp.create_model('UPerNet', encoder_name='mit_b2', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/mit_b2.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
deep_metallography,Appendix deep-metallography table,15,metal_fpn_gabor_r34,Metal-FPN Gabor Stack (ResNet34),texture-aware,0.4139,pretrained_encoder,smp-hub/resnet34.imagenet,"smp.create_model('FPN', encoder_name='resnet34', encoder_weights='imagenet')",Hugging Face SMP encoder weights (imagenet) via segmentation_models_pytorch,https://huggingface.co/smp-hub/resnet34.imagenet,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_metallography_summary.csv
foundation_edge,Appendix foundation/edge table,1,sam_vit_base,SAM ViT-Base (auto-mask),foundation_sam,0.4363,pretrained_full_model,facebook/sam-vit-base,"transformers.pipeline('mask-generation', model='facebook/sam-vit-base')",Hugging Face model id: facebook/sam-vit-base,https://huggingface.co/facebook/sam-vit-base,repro/benchmark/run_foundation_edge_addons.py,repro/results/foundation_edge/foundation_edge_summary.csv
foundation_edge,Appendix foundation/edge table,2,slimsam_50,SlimSAM-50 (auto-mask),foundation_sam,0.4352,pretrained_full_model,nielsr/slimsam-50-uniform,"transformers.pipeline('mask-generation', model='nielsr/slimsam-50-uniform')",Hugging Face model id: nielsr/slimsam-50-uniform,https://huggingface.co/nielsr/slimsam-50-uniform,repro/benchmark/run_foundation_edge_addons.py,repro/results/foundation_edge/foundation_edge_summary.csv
foundation_edge,Appendix foundation/edge table,3,slimsam_77,SlimSAM-77 (auto-mask),foundation_sam,0.4341,pretrained_full_model,nielsr/slimsam-77-uniform,"transformers.pipeline('mask-generation', model='nielsr/slimsam-77-uniform')",Hugging Face model id: nielsr/slimsam-77-uniform,https://huggingface.co/nielsr/slimsam-77-uniform,repro/benchmark/run_foundation_edge_addons.py,repro/results/foundation_edge/foundation_edge_summary.csv
foundation_edge,Appendix foundation/edge table,4,texturesam_03,TextureSAM-0.3 (auto-mask),foundation_texture,0.4176,external_local_checkpoint,sam2.1_hiera_small_0.3.pt,"build_sam2(..., checkpoint='.../sam2.1_hiera_small_0.3.pt')",Local optional dependency: repro/external/TextureSAM + repro/external/TextureSAM_Datasets/checkpoints/sam2.1_hiera_small_0.3.pt,https://github.com/Scientific-Computing-Lab/TextureSAM ; https://drive.google.com/drive/folders/1pUJLa898WYEcb4Y_sOaXsSVe-CsPkwRv,repro/benchmark/run_foundation_edge_addons.py,repro/results/foundation_edge/foundation_edge_summary.csv
foundation_edge,Appendix foundation/edge table,5,hed_watershed,HED + Watershed,deep_edge,0.3404,pretrained_detector,lllyasviel/Annotators (HED),controlnet_aux.HEDdetector.from_pretrained('lllyasviel/Annotators'),ControlNet Aux pretrained annotator package,https://huggingface.co/lllyasviel/Annotators,repro/benchmark/run_foundation_edge_addons.py,repro/results/foundation_edge/foundation_edge_summary.csv
foundation_edge,Appendix foundation/edge table,6,pidi_watershed,PidiNet + Watershed,deep_edge,0.3395,pretrained_detector,lllyasviel/Annotators (PidiNet),controlnet_aux.PidiNetDetector.from_pretrained('lllyasviel/Annotators'),ControlNet Aux pretrained annotator package,https://huggingface.co/lllyasviel/Annotators,repro/benchmark/run_foundation_edge_addons.py,repro/results/foundation_edge/foundation_edge_summary.csv
